Time,Desired_1,Sensor_1,PID_1,Desired_2,Sensor_2,PID_2,Desired_3,Sensor_3,PID_3,Desired_4,Sensor_4,PID_4,Desired_5,Sensor_5,PID_5,Desired_6,Sensor_6,PID_6,Thruster_1,Thruster_2,Thruster_3,Thruster_4,Thruster_5,Thruster_6,Thruster_7,Thruster_8
1.6,0.0,-0.24830077893390867,0.12637172925990178,0.0,3.6550139263472814e-17,-1.335627905500081e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.735399627068259e-18,1.0576325539105176e-17,1545.0,1455.0,1455.0,1545.0,1500.0,1500.0,1500.0,1500.0
1.7000000000000002,0.0,-0.2407127584008542,0.12442528717344423,0.0,3.554938519452796e-17,-1.3315772056358764e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.74705840514627e-18,1.0615033109751155e-17,1544.0,1456.0,1456.0,1544.0,1500.0,1500.0,1500.0,1500.0
1.8,0.0,-0.23327573947640753,0.12282052513428103,0.0,3.456854613155511e-17,-1.3279238474259922e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.758600886912953e-18,1.065464425047565e-17,1543.0,1457.0,1457.0,1543.0,1500.0,1500.0,1500.0,1500.0
1.9000000000000001,0.0,-0.22598671722855734,0.12092990216361592,0.0,3.360722576593541e-17,-1.3240354097633244e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.770028232424014e-18,1.0693873378795913e-17,1543.0,1457.0,1457.0,1543.0,1500.0,1500.0,1500.0,1500.0
2.0,0.0,-0.21884274652343938,0.11912672069522849,0.0,3.266503567559155e-17,-1.320320938169941e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.781341590163602e-18,1.0733099028102778e-17,1542.0,1458.0,1458.0,1542.0,1500.0,1500.0,1500.0,1500.0
2.1,0.0,-0.2121195550492764,0.11765621403487474,0.0,3.167324359364508e-17,-1.3159384260533143e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.758107402480728e-18,1.073623074045274e-17,1542.0,1458.0,1458.0,1542.0,1500.0,1500.0,1500.0,1500.0
2.2,0.0,-0.20553015508544925,0.11605300497648892,0.0,3.070118817412935e-17,-1.3119276772730284e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.735104975819991e-18,1.0754860978752345e-17,1541.0,1459.0,1459.0,1541.0,1500.0,1500.0,1500.0,1500.0
2.3000000000000003,0.0,-0.19935049839482535,0.11476061470856026,0.0,2.974847665746198e-17,-1.3079500184422993e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6951146510256905e-18,1.075522421873682e-17,1541.0,1459.0,1459.0,1541.0,1500.0,1500.0,1500.0,1500.0
2.4000000000000004,0.0,-0.1932938168723449,0.11338765481685581,0.0,2.8814724099976286e-17,-1.3040889940971433e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.655523229721213e-18,1.0763722322058767e-17,1540.0,1460.0,1460.0,1540.0,1500.0,1500.0,1500.0,1500.0
2.5,0.0,-0.18735766331216178,0.11168853533965564,0.0,2.789955321838456e-17,-1.2999645111154112e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.616326732844248e-18,1.0769627573408353e-17,1539.0,1461.0,1461.0,1539.0,1500.0,1500.0,1500.0,1500.0
2.6,0.0,-0.18153963920782631,0.11044252031589477,0.0,2.7002594237336518e-17,-1.2964251067674345e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.57752122102363e-18,1.077914773743828e-17,1539.0,1461.0,1461.0,1539.0,1500.0,1500.0,1500.0,1500.0
2.7,0.0,-0.17583739378316712,0.10902610034676903,0.0,2.612348474001133e-17,-1.2926988201082471e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5391027941834236e-18,1.078758486880258e-17,1539.0,1461.0,1461.0,1539.0,1500.0,1500.0,1500.0,1500.0
2.8000000000000003,0.0,-0.17024862304245866,0.10756797754692962,0.0,2.5261869521682916e-17,-1.2889968375165455e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.501067591150948e-18,1.079571322119359e-17,1538.0,1462.0,1462.0,1538.0,1500.0,1500.0,1500.0,1500.0
2.9000000000000004,0.0,-0.165188990160375,0.10687260473361876,0.0,2.4554103595000108e-17,-1.2870201600402657e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4634117892687214e-18,1.0806174948955366e-17,1538.0,1462.0,1462.0,1538.0,1500.0,1500.0,1500.0,1500.0
3.0,0.0,-0.16023004397264476,0.10571576912666901,0.0,2.386042221025829e-17,-1.2841799725209912e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4261316040102696e-18,1.0814347994547442e-17,1537.0,1463.0,1463.0,1537.0,1500.0,1500.0,1500.0,1500.0
